23.09.2026                                   Salida dinámica de lista                                                                                        1


		Material	Alm.	Grupo art.	Texto breve material	UMB	LibrUtiliz	Insp.cal.	Bloqueado	Valor libre util.	Valor en insp.cal.	Valor stock bloq.

		205292	0230	MOP050	CAJA ORGANIZADORA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		205292	0231	MOP050	CAJA ORGANIZADORA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		205292	0280	MOP050	CAJA ORGANIZADORA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		240010	0280	MGR002	GUANTES CLINICOS TALLA L	PAA	        0	       0	       0	            0.00	             0.00	            0.00
		240531	0230	MGR002	GUANTE DE CUERO	PAA	        0	       0	       0	            0.00	             0.00	            0.00
		240531	0231	MGR002	GUANTE DE CUERO	PAA	        0	       0	       0	            0.00	             0.00	            0.00
		240531	0280	MGR002	GUANTE DE CUERO	PAA	        0	       0	       0	            0.00	             0.00	            0.00
		240650	0230	MGR002	ARNES (CINCHOS PARA ESCALAR)	UN	        0	       0	       0	            0.00	             0.00	            0.00
		240650	0231	MGR002	ARNES (CINCHOS PARA ESCALAR)	UN	        0	       0	       0	            0.00	             0.00	            0.00
		240650	0280	MGR002	ARNES (CINCHOS PARA ESCALAR)	UN	        0	       0	       0	            0.00	             0.00	            0.00
		240710	0230	MGR002	CHALECO REFLECTIVO NARANJA CINTA GRIS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		240710	0231	MGR002	CHALECO REFLECTIVO NARANJA CINTA GRIS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		240850	0230	MGR004	ESTETOSCOPIO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		240850	0231	MGR004	ESTETOSCOPIO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		240850	0280	MGR004	ESTETOSCOPIO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		240851	0230	MGR002	PANTALLA PARA CARETA DE ESMERILAR	UN	        0	       0	       0	            0.00	             0.00	            0.00
		240851	0231	MGR002	PANTALLA PARA CARETA DE ESMERILAR	UN	        0	       0	       0	            0.00	             0.00	            0.00
		240880	0230	MGR002	GUANTE DE CUERO LARGO	PAA	        0	       0	       0	            0.00	             0.00	            0.00
		240880	0231	MGR002	GUANTE DE CUERO LARGO	PAA	        0	       0	       0	            0.00	             0.00	            0.00
		240880	0280	MGR002	GUANTE DE CUERO LARGO	PAA	        0	       0	       0	            0.00	             0.00	            0.00
		241780	0230	MGR002	GUANTES DE CUERO MANGA CORTA	PAA	        0	       0	       0	            0.00	             0.00	            0.00
		241780	0231	MGR002	GUANTES DE CUERO MANGA CORTA	PAA	        0	       0	       0	            0.00	             0.00	            0.00
		241780	0280	MGR002	GUANTES DE CUERO MANGA CORTA	PAA	        0	       0	       0	            0.00	             0.00	            0.00
		241922	0230	MGR002	SLINGA ABSORVE SHOCK MARCA ARSEG	UN	        0	       0	       0	            0.00	             0.00	            0.00
		241922	0231	MGR002	SLINGA ABSORVE SHOCK MARCA ARSEG	UN	        0	       0	       0	            0.00	             0.00	            0.00
		241922	0280	MGR002	SLINGA ABSORVE SHOCK MARCA ARSEG	UN	        0	       0	       0	            0.00	             0.00	            0.00
		242190	0280	MGR002	CUBRE ZAPATOS DE POLIPROPILENO	PAA	        0	       0	       0	            0.00	             0.00	            0.00
		244450	0280	MGR054	ALCOHOL AL 70%	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		260515	0230	MGR050	FUEL OIL BUNKER	GLN	    7,771	       0	       0	      143,072.05	             0.00	            0.00
		260515	0231	MGR050	FUEL OIL BUNKER	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		260515	0280	MGR050	FUEL OIL BUNKER	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		260516	0230	MGR050	GAS PROPANO	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		260516	0231	MGR050	GAS PROPANO	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		260516	0280	MGR050	GAS PROPANO	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		260517	0230	MGR050	DIESEL	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		260517	0231	MGR050	DIESEL	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		260517	0280	MGR050	DIESEL	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		260890	0280	MGR051	TECLADO PARA COMPUTADORA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261119	0280	MGR051	MOUSE PARA COMPUTADORA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261583	0230	MRE011	PALA METALICA PARA CONSTRUCCION	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261583	0231	MRE011	PALA METALICA PARA CONSTRUCCION	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261583	0280	MRE011	PALA METALICA PARA CONSTRUCCION	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261732	0230	MGR051	CAFETERA PARA USO EN OFICINA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261732	0231	MGR051	CAFETERA PARA USO EN OFICINA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261732	0280	MGR051	CAFETERA PARA USO EN OFICINA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261783	0230	MGR051	ESTANTERIA METALICA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261783	0231	MGR051	ESTANTERIA METALICA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261783	0280	MGR051	ESTANTERIA METALICA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261841	0230	MGR051	CONECTOR RJ45	M	        0	       0	       0	            0.00	             0.00	            0.00
		261841	0231	MGR051	CONECTOR RJ45	M	        0	       0	       0	            0.00	             0.00	            0.00
		261841	0280	MGR051	CONECTOR RJ45	M	        0	       0	       0	            0.00	             0.00	            0.00
		261972	0230	MGR053	CLAVADORA ELECTRICA PARA MADERA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261972	0231	MGR053	CLAVADORA ELECTRICA PARA MADERA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		261972	0280	MGR053	CLAVADORA ELECTRICA PARA MADERA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		262331	0230	MGR053	CARRETA DE MANO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		262331	0231	MGR053	CARRETA DE MANO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		262331	0280	MGR053	CARRETA DE MANO	UN	        0	       0	       0	            0.00	             0.00	            0.00
		262406	0230	MGR052	PONCHADORA PARA RED RJ-452	UN	        0	       0	       0	            0.00	             0.00	            0.00
		262406	0231	MGR052	PONCHADORA PARA RED RJ-452	UN	        0	       0	       0	            0.00	             0.00	            0.00
		262406	0280	MGR052	PONCHADORA PARA RED RJ-452	UN	        0	       0	       0	            0.00	             0.00	            0.00
		262810	0230	MGR053	CONO DE SEÑALIZACION DE 28 "	UN	        0	       0	       0	            0.00	             0.00	            0.00
		262810	0231	MGR053	CONO DE SEÑALIZACION DE 28 "	UN	        0	       0	       0	            0.00	             0.00	            0.00
		262810	0280	MGR053	CONO DE SEÑALIZACION DE 28 "	UN	        0	       0	       0	            0.00	             0.00	            0.00
		263240	0230	MGR050	FUEL POWER (MEJORADOR COMBUSTIBLES)	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		263240	0231	MGR050	FUEL POWER (MEJORADOR COMBUSTIBLES)	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		263240	0280	MGR050	FUEL POWER (MEJORADOR COMBUSTIBLES)	GLN	        0	       0	       0	            0.00	             0.00	            0.00
		263360	0230	MRE011	LAMINA PERFORADA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		263360	0231	MRE011	LAMINA PERFORADA	UN	        0	       0	       0	            0.00	             0.00	            0.00
